dbn,school_name,cte_designated_high_school,program_cip_code,program_name,industry_cluster,number_of_industry_partners,is_nysed_approved,grade_levels_served,enrolled_student_counts,number_of_school_staff,year,number_of_staff_attending
02M507,Urban Assembly Gateway School for Technology,True,110201,"Computer Programming/Programmer, General",Information Technology Cluster,2,Non-Approved,9101112,78,2,2016-2017,
02M507,Urban Assembly Gateway School for Technology,True,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",4,Approved,9101112,143,2,2016-2017,
02M507,Urban Assembly Gateway School for Technology,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,3,Approved,9101112,234,2,2016-2017,
02M519,Talent Unlimited High School,False,500301,"Dance, General","Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,1112,42,0,2016-2017,
02M519,Talent Unlimited High School,False,500501,"Drama and Dramatics/Theatre Arts, General","Arts, Audio/Video Technology and Communications Cluster",1,Non-Approved,9101112,100,0,2016-2017,
02M520,Murry Bergtraum High School for Business Careers,False,430107,Criminal Justice/Police Science,Law and Public Safety Cluster,0,Non-Approved,,0,0,2016-2017,
02M520,Murry Bergtraum High School for Business Careers,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,,0,0,2016-2017,
02M529,Jacqueline Kennedy Onassis High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,7,Non-Approved,9101112,240,7,2016-2017,
02M529,Jacqueline Kennedy Onassis High School,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,3,Non-Approved,9101112,306,7,2016-2017,
02M533,Union Square Academy for Health Sciences,True,510603,Dental Laboratory Technology/Technician,Health Science Cluster,3,Approved,9101112,202,6,2016-2017,
02M533,Union Square Academy for Health Sciences,True,510805,Pharmacy Technician/Assistant,Health Science Cluster,4,Approved,9101112,200,6,2016-2017,
02M542,Manhattan Bridges High School,False,110101,"Computer and Information Sciences, General",Information Technology Cluster,2,Non-Approved,9101112,329,4,2016-2017,
02M542,Manhattan Bridges High School,False,151304,Civil Drafting and Civil Engineering CAD/CADD,Manufacturing Production Cluster,2,Non-Approved,9101112,163,4,2016-2017,
02M546,Academy for Software Engineering,True,110201,"Computer Programming/Programmer, General",Information Technology Cluster,3,Non-Approved,9101112,444,4,2016-2017,
02M551,Urban Assembly New York Harbor School,True,10303,Aquaculture,"Agriculture, Food and Natural Resources Cluster",2,Approved,9101112,81,6,2016-2017,
02M551,Urban Assembly New York Harbor School,True,30205,"Water, Wetlands and Marine Resources Management","Agriculture, Food and Natural Resources Cluster",3,Approved,9101112,76,6,2016-2017,
02M551,Urban Assembly New York Harbor School,True,150405,Robotics Technology/Technician,Manufacturing Production Cluster,2,Approved,9101112,72,6,2016-2017,
02M551,Urban Assembly New York Harbor School,True,470616,Marine Maintenance/Fitter and Ship Repair Technology/Technician,"Transportation, Distribution and Logistics Cluster",3,Approved,9101112,71,6,2016-2017,
02M551,Urban Assembly New York Harbor School,True,490399,"Marine Transportation, Other","Transportation, Distribution and Logistics Cluster",2,Non-Approved,9101112,74,6,2016-2017,
02M551,Urban Assembly New York Harbor School,True,490309,Marine Science/Merchant Marine Officer,"Transportation, Distribution and Logistics Cluster",2,Approved,9101112,73,6,2016-2017,
02M600,The High School of Fashion Industries,True,190905,Apparel and Textile Marketing Management,Marketing Sales and Services Cluster,2,Approved,9101112,249,5,2016-2017,
02M600,The High School of Fashion Industries,True,500407,Fashion/Apparel Design,"Arts, Audio/Video Technology and Communications Cluster",2,Approved,9101112,997,5,2016-2017,
02M600,The High School of Fashion Industries,True,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",2,Approved,9101112,354,5,2016-2017,
02M600,The High School of Fashion Industries,True,521902,Fashion Merchandising,Marketing Sales and Services Cluster,2,Approved,101112,58,5,2016-2017,
02M615,Chelsea Career and Technical Education High School,True,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,9101112,291,12,2016-2017,
02M615,Chelsea Career and Technical Education High School,True,110901,Computer Systems Networking and Telecommunications,Information Technology Cluster,2,Approved,9101112,49,12,2016-2017,
02M615,Chelsea Career and Technical Education High School,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,3,Non-Approved,9101112,76,12,2016-2017,
02M630,Art and Design High School,True,100303,Prepress/Desktop Publishing and Digital Imaging Design,Manufacturing Production Cluster,3,Approved,9101112,731,23,2016-2017,
02M630,Art and Design High School,True,100304,"Animation, Interactive Technology, Video Graphics and Special Effects",Manufacturing Production Cluster,2,Approved,9101112,164,23,2016-2017,
02M630,Art and Design High School,True,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,3,Approved,9101112,78,23,2016-2017,
02M630,Art and Design High School,True,500406,Commercial Photography,"Arts, Audio/Video Technology and Communications Cluster",3,Non-Approved,9101112,46,23,2016-2017,
02M630,Art and Design High School,True,500407,Fashion/Apparel Design,"Arts, Audio/Video Technology and Communications Cluster",4,Non-Approved,9101112,75,23,2016-2017,
02M630,Art and Design High School,True,500410,Illustration,"Arts, Audio/Video Technology and Communications Cluster",2,Approved,9101112,236,23,2016-2017,
02M630,Art and Design High School,True,500602,Cinematography and Film/Video Production,"Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,9101112,49,23,2016-2017,
03M299,The Maxine Greene HS for Imaginative Inquiry,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Non-Approved,9101112,156,5,2016-2017,
03M402,The Urban Assembly School for Green Careers,True,10601,"Applied Horticulture/Horticultural Operations, General","Agriculture, Food and Natural Resources Cluster",2,Non-Approved,9101112,145,1,2016-2017,
03M402,The Urban Assembly School for Green Careers,True,460401,Building/Property Maintenance and Manager,Architecture and Construction Cluster,1,Approved,9101112,159,1,2016-2017,
03M485,Fiorello H. LaGuardia High School of Music & Art a,False,500301,"Dance, General","Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,9101112,234,1,2016-2017,
03M485,Fiorello H. LaGuardia High School of Music & Art a,False,500501,"Drama and Dramatics/Theatre Arts, General","Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,9101112,333,1,2016-2017,
03M485,Fiorello H. LaGuardia High School of Music & Art a,False,500502,Technical Theater/Theater Design and Technology,"Arts, Audio/Video Technology and Communications Cluster",2,Approved,9101112,102,1,2016-2017,
05M157,The Urban Assembly School for Global Commerce,True,150000,"Engineering Technology, General",Scientific Research and Engineering Cluster,2,Non-Approved,101112,60,6,2016-2017,
05M157,The Urban Assembly School for Global Commerce,True,520203,Logistics and Materials Management,"Transportation, Distribution and Logistics Cluster",2,Non-Approved,9101112,177,6,2016-2017,
05M362,Columbia Secondary School,False,150101,Architectural Engineering Technology/Technician,Architecture and Construction Cluster,2,Non-Approved,9101112,383,3,2016-2017,
06M211,Inwood Early College for Health and Information Te,True,110103,Information Technology,Information Technology Cluster,3,Non-Approved,91011,276,11,2016-2017,
06M467,High School for Law and Public Service,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,3,Non-Approved,9101112,362,8,2016-2017,
07X259,"H.E.R.O. High (Health, Education, and Research Occ",True,511613,Licensed Practical/Vocational Nurse Training,Health Science Cluster,2,Non-Approved,9101112,446,1,2016-2017,
07X522,Bronx Design and Construction Academy,True,150501,"Heating, Air Conditioning and Refrigeration Technology/Technician",Scientific Research and Engineering Cluster,3,Approved,9101112,144,17,2016-2017,
07X522,Bronx Design and Construction Academy,True,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,2,Approved,9101112,108,17,2016-2017,
07X522,Bronx Design and Construction Academy,True,460201,Carpentry/Carpenter,Architecture and Construction Cluster,3,Approved,9101112,107,17,2016-2017,
07X522,Bronx Design and Construction Academy,True,460302,Electrician,Architecture and Construction Cluster,2,Approved,9101112,95,17,2016-2017,
07X522,Bronx Design and Construction Academy,True,460503,Plumbing Technology/Plumber,Architecture and Construction Cluster,1,Non-Approved,9101112,50,17,2016-2017,
07X600,Alfred E. Smith Career and Technical Education Hig,True,470603,Autobody/Collision and Repair Technology/Technician,"Transportation, Distribution and Logistics Cluster",3,Non-Approved,101112,56,9,2016-2017,
07X600,Alfred E. Smith Career and Technical Education Hig,True,470604,Automobile/Automotive Mechanics Technology/Technician,"Transportation, Distribution and Logistics Cluster",3,Approved,9101112,292,9,2016-2017,
07X600,Alfred E. Smith Career and Technical Education Hig,True,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",5,Approved,9101112,80,9,2016-2017,
08X405,Herbert H. Lehman High School,False,110103,Information Technology,Information Technology Cluster,1,Non-Approved,9101112,182,5,2016-2017,
08X405,Herbert H. Lehman High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,9101112,29,5,2016-2017,
08X519,Felisa Rincon de Gautier Institute for Law and Pub,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,9101112,168,2,2016-2017,
09X365,Academy for Language and Technology,False,110103,Information Technology,Information Technology Cluster,1,Approved,9101112,159,4,2016-2017,
09X365,Academy for Language and Technology,False,110899,"Computer Software and Media Applications, Other",Information Technology Cluster,1,Approved,101112,144,4,2016-2017,
09X403,Bronx International High School,False,151001,Construction Engineering Technology/Technician,Architecture and Construction Cluster,3,Non-Approved,9101112,363,6,2016-2017,
09X412,Bronx High School of Business,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Non-Approved,9101112,149,1,2016-2017,
10X213,Bronx Engineering and Technology Academy,False,151399,"Drafting/Design Engineering Technologies/Technicians, Other",Manufacturing Production Cluster,1,Approved,9101112,242,5,2016-2017,
10X264,Bronx Academy for Software Engineering (BASE),True,110201,"Computer Programming/Programmer, General",Information Technology Cluster,3,Non-Approved,9101112,426,2,2016-2017,
10X284,Bronx School of Law and Finance,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,9101112,99,4,2016-2017,
10X284,Bronx School of Law and Finance,False,520304,Accounting and Finance,Business Management and Administration Cluster,2,Non-Approved,9101112,189,4,2016-2017,
10X368,In-Tech Academy (M.S. / High School 368),False,110901,Computer Systems Networking and Telecommunications,Information Technology Cluster,1,Approved,9101112,153,6,2016-2017,
10X368,In-Tech Academy (M.S. / High School 368),False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,3,Approved,9101112,159,6,2016-2017,
10X437,Fordham High School for the Arts,False,500501,"Drama and Dramatics/Theatre Arts, General","Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,9101112,120,0,2016-2017,
10X439,Bronx High School for Law and Community Service,False,430107,Criminal Justice/Police Science,Law and Public Safety Cluster,8,Non-Approved,9101112,172,1,2016-2017,
10X524,Crotona International High School,True,100203,Recording Arts Technology/Technician,"Arts, Audio/Video Technology and Communications Cluster",8,Approved,9101112,300,2,2016-2017,
10X565,High School for Energy and Technology,True,460401,Building/Property Maintenance and Manager,Architecture and Construction Cluster,1,Non-Approved,9101112,139,2,2016-2017,
11X270,Academy for Scholarship and Entrepreneurship: A Co,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,5,Approved,9101112,332,1,2016-2017,
11X275,High School of Computers and Technology,True,151202,Computer Technology/Computer Systems Technology,Information Technology Cluster,2,Approved,9101112,516,5,2016-2017,
11X418,Bronx High School for the Visual Arts,False,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",1,Approved,9101112,388,3,2016-2017,
11X508,Bronxdale High School,False,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,4,Non-Approved,101112,189,2,2016-2017,
13K419,"Science Skills Center High School for Science, Tec",False,150000,"Engineering Technology, General",Scientific Research and Engineering Cluster,1,Non-Approved,9101112,233,0,2016-2017,
13K430,Brooklyn Technical High School,False,90102,Mass Communications/Media Studies,"Arts, Audio/Video Technology and Communications Cluster",5,Approved,9101112,697,4,2016-2017,
13K430,Brooklyn Technical High School,False,150405,Robotics Technology/Technician,Manufacturing Production Cluster,2,Approved,9101112,1231,4,2016-2017,
13K430,Brooklyn Technical High School,False,151301,"Drafting and Design Technology/Technician, General",Manufacturing Production Cluster,1,Approved,9101112,1801,4,2016-2017,
13K430,Brooklyn Technical High School,False,430103,Criminal Justice/Law Enforcement Administration,Law and Public Safety Cluster,11,Non-Approved,9101112,603,4,2016-2017,
13K605,George Westinghouse Career and Technical Education,True,111004,Web/Multimedia Management and Webmaster,Information Technology Cluster,1,Non-Approved,1112,45,12,2016-2017,
13K605,George Westinghouse Career and Technical Education,True,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,3,Approved,9101112,385,12,2016-2017,
13K605,George Westinghouse Career and Technical Education,True,151202,Computer Technology/Computer Systems Technology,Information Technology Cluster,3,Non-Approved,101112,93,12,2016-2017,
13K605,George Westinghouse Career and Technical Education,True,460302,Electrician,Architecture and Construction Cluster,3,Approved,101112,100,12,2016-2017,
13K674,"City Polytechnic High School of Engineering, Archi",True,150101,Architectural Engineering Technology/Technician,Architecture and Construction Cluster,3,Approved,9101112,349,1,2016-2017,
14K477,School for Legal Studies,False,430107,Criminal Justice/Police Science,Law and Public Safety Cluster,9,Non-Approved,9101112,234,4,2016-2017,
14K478,"The High School for Enterprise, Business and Techn",False,110901,Computer Systems Networking and Telecommunications,Information Technology Cluster,2,Approved,9101112,493,9,2016-2017,
14K478,"The High School for Enterprise, Business and Techn",False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,6,Approved,9101112,356,9,2016-2017,
14K558,Williamsburg High School for Architecture and Desi,True,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,3,Approved,9101112,559,3,2016-2017,
14K610,Automotive High School,True,470604,Automobile/Automotive Mechanics Technology/Technician,"Transportation, Distribution and Logistics Cluster",5,Approved,9101112,230,6,2016-2017,
15K497,The Boerum Hill School for International Studies,False,120599,"Culinary Arts and Related Services, Other",Hospitality and Tourism Cluster,5,Approved,9101112,157,1,2016-2017,
15K519,Cobble Hill School of American Studies,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,9101112,399,3,2016-2017,
16K455,Boys and Girls High School,False,460302,Electrician,Architecture and Construction Cluster,1,Non-Approved,9101112,204,3,2016-2017,
16K688,The Brooklyn Academy of Global Finance,False,520801,"Finance, General",Finance Cluster,4,Non-Approved,9101112,69,4,2016-2017,
21K410,Abraham Lincoln High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Non-Approved,9101112,122,2,2016-2017,
17K122,Pathways in Technology Early College High School (,True,150403,Electromechanical Technology/Electromechanical Engineering Technology,Manufacturing Production Cluster,1,Non-Approved,1112,30,1,2016-2017,
17K122,Pathways in Technology Early College High School (,True,151202,Computer Technology/Computer Systems Technology,Information Technology Cluster,2,Non-Approved,101112,181,1,2016-2017,
17K408,Academy of Hospitality and Tourism,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,1,Non-Approved,9101112,147,4,2016-2017,
17K548,Brooklyn School for Music & Theatre,False,500502,Technical Theater/Theater Design and Technology,"Arts, Audio/Video Technology and Communications Cluster",1,Non-Approved,9101112,160,2,2016-2017,
17K600,Clara Barton High School,True,510601,Dental Assisting/Assistant,Health Science Cluster,3,Approved,9101112,146,18,2016-2017,
17K600,Clara Barton High School,True,510603,Dental Laboratory Technology/Technician,Health Science Cluster,3,Approved,9101112,134,18,2016-2017,
17K600,Clara Barton High School,True,511006,Ophthalmic Laboratory Technology/Technician,Health Science Cluster,2,Non-Approved,9101112,91,18,2016-2017,
17K600,Clara Barton High School,True,511613,Licensed Practical/Vocational Nurse Training,Health Science Cluster,3,Approved,9101112,265,18,2016-2017,
17K600,Clara Barton High School,True,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,2,Approved,101112,59,18,2016-2017,
17K751,Academy for Health Careers,True,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,3,Non-Approved,9101112,370,0,2016-2017,
18K567,Brooklyn Theatre Arts High School,False,500501,"Drama and Dramatics/Theatre Arts, General","Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,9101112,232,0,2016-2017,
18K617,High School for Innovation in Advertising and Medi,True,110899,"Computer Software and Media Applications, Other",Information Technology Cluster,2,Approved,9101112,230,3,2016-2017,
19K502,FDNY - Captain Vernon A. Richards High School for,False,510904,Emergency Medical Technology/Technician (EMT Paramedic),Health Science Cluster,2,Non-Approved,9101112,129,0,2016-2017,
19K510,World Academy for Total Community Health High Scho,False,519999,"Health Professions and Related Clinical Services, Other",Health Science Cluster,5,Non-Approved,9101112,115,9,2016-2017,
19K615,Transit Tech Career and Technical Education High S,True,470101,"Electrical/Electronics Equipment Installation and Repair, General",Information Technology Cluster,8,Approved,9101112,230,19,2016-2017,
19K615,Transit Tech Career and Technical Education High S,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,2,Approved,9101112,158,19,2016-2017,
19K615,Transit Tech Career and Technical Education High S,True,470105,Industrial Electronics Technology/Technician,Manufacturing Production Cluster,8,Approved,101112,39,19,2016-2017,
19K615,Transit Tech Career and Technical Education High S,True,479999,"Mechanic and Repair Technologies/Technicians, Other","Transportation, Distribution and Logistics Cluster",3,Approved,9101112,106,19,2016-2017,
19K618,Academy of Innovative Technology,True,110103,Information Technology,Information Technology Cluster,2,Non-Approved,9101112,73,4,2016-2017,
19K618,Academy of Innovative Technology,True,110801,"Web Page, Digital/Multimedia and Information Resources Design",Information Technology Cluster,3,Approved,9101112,190,4,2016-2017,
19K618,Academy of Innovative Technology,True,470101,"Electrical/Electronics Equipment Installation and Repair, General",Information Technology Cluster,2,Approved,9101112,84,4,2016-2017,
19K660,W. H. Maxwell Career and Technical Education High,True,100105,Communications Technology/Technician,"Arts, Audio/Video Technology and Communications Cluster",1,Approved,9101112,89,3,2016-2017,
19K660,W. H. Maxwell Career and Technical Education High,True,120401,"Cosmetology/Cosmetologist, General",Marketing Sales and Services Cluster,1,Approved,9101112,177,3,2016-2017,
19K660,W. H. Maxwell Career and Technical Education High,True,500407,Fashion/Apparel Design,"Arts, Audio/Video Technology and Communications Cluster",1,Approved,9101112,50,3,2016-2017,
19K660,W. H. Maxwell Career and Technical Education High,True,510706,Health Information/Medical Records Administration/Administrator,Health Science Cluster,0,Non-Approved,9101112,78,3,2016-2017,
19K660,W. H. Maxwell Career and Technical Education High,True,511006,Ophthalmic Laboratory Technology/Technician,Health Science Cluster,1,Approved,9101112,34,3,2016-2017,
19K764,The Urban Assembly School for Collaborative Health,True,519999,"Health Professions and Related Clinical Services, Other",Health Science Cluster,1,Non-Approved,91011,126,8,2016-2017,
20K445,New Utrecht High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,12,Non-Approved,9101112,186,20,2016-2017,
20K445,New Utrecht High School,False,510714,Medical Insurance Specialist/Medical Biller,Health Science Cluster,2,Non-Approved,9101112,327,20,2016-2017,
20K445,New Utrecht High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,5,Non-Approved,9101112,263,20,2016-2017,
20K445,New Utrecht High School,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,5,Non-Approved,9101112,145,20,2016-2017,
20K485,High School of Telecommunication Arts and Technolo,False,110201,"Computer Programming/Programmer, General",Information Technology Cluster,0,Non-Approved,9101112,211,0,2016-2017,
20K490,Fort Hamilton High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,9101112,87,12,2016-2017,
20K490,Fort Hamilton High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Approved,9101112,767,12,2016-2017,
21K410,Abraham Lincoln High School,False,510808,Veterinary/Animal Health Technology/Technician and Veterinarian Assistant,Health Science Cluster,1,Non-Approved,9101112,284,2,2016-2017,
21K525,Edward R. Murrow High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Approved,9101112,919,6,2016-2017,
21K559,Life Academy High School for Film and Music,False,500602,Cinematography and Film/Video Production,"Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,9101112,219,0,2016-2017,
21K620,William E. Grady Career and Technical Education Hi,True,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,2,Approved,9101112,91,12,2016-2017,
21K620,William E. Grady Career and Technical Education Hi,True,151001,Construction Engineering Technology/Technician,Architecture and Construction Cluster,3,Non-Approved,9101112,97,12,2016-2017,
21K620,William E. Grady Career and Technical Education Hi,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,2,Non-Approved,9101112,131,12,2016-2017,
21K620,William E. Grady Career and Technical Education Hi,True,470604,Automobile/Automotive Mechanics Technology/Technician,"Transportation, Distribution and Logistics Cluster",3,Approved,9101112,59,12,2016-2017,
21K620,William E. Grady Career and Technical Education Hi,True,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,1,Non-Approved,9101112,58,12,2016-2017,
21K690,Brooklyn Studio Secondary School,False,500102,Digital Arts,"Arts, Audio/Video Technology and Communications Cluster",1,Approved,9101112,219,4,2016-2017,
22K405,Midwood High School,False,90199,"Communications and Media Studies, Other","Arts, Audio/Video Technology and Communications Cluster",3,Non-Approved,9101112,397,9,2016-2017,
22K405,Midwood High School,False,151302,CAD/CADD Drafting and/or Design Technology/Technician,Manufacturing Production Cluster,2,Approved,9101112,439,9,2016-2017,
22K405,Midwood High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,9101112,429,9,2016-2017,
22K425,James Madison High School,False,110103,Information Technology,Information Technology Cluster,1,Non-Approved,9101112,460,7,2016-2017,
22K425,James Madison High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,9101112,661,7,2016-2017,
22K425,James Madison High School,False,520899,"Finance and Financial Management Services, Other",Finance Cluster,1,Non-Approved,101112,83,7,2016-2017,
24Q264,Academy of Finance and Enterprise,False,520304,Accounting and Finance,Business Management and Administration Cluster,3,Approved,9101112,247,10,2016-2017,
24Q264,Academy of Finance and Enterprise,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Approved,9101112,267,10,2016-2017,
24Q455,Newtown High School,False,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,1,Approved,9101112,465,3,2016-2017,
24Q455,Newtown High School,False,520101,"Business/Commerce, General",Business Management and Administration Cluster,2,Approved,9101112,477,3,2016-2017,
24Q485,Grover Cleveland High School,False,110101,"Computer and Information Sciences, General",Information Technology Cluster,3,Non-Approved,9101112,212,4,2016-2017,
24Q485,Grover Cleveland High School,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,3,Non-Approved,9101112,208,4,2016-2017,
24Q550,High School for Arts and Business,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,3,Approved,9101112,196,4,2016-2017,
24Q600,Queens Vocational and Technical High School,True,110803,Computer Graphics,Information Technology Cluster,2,Approved,9101112,101,30,2016-2017,
24Q600,Queens Vocational and Technical High School,True,110901,Computer Systems Networking and Telecommunications,Information Technology Cluster,3,Non-Approved,9101112,274,30,2016-2017,
24Q600,Queens Vocational and Technical High School,True,120401,"Cosmetology/Cosmetologist, General",Marketing Sales and Services Cluster,2,Approved,9101112,249,30,2016-2017,
24Q600,Queens Vocational and Technical High School,True,150303,"Electrical, Electronic and Communications Engineering Technology/Technician",Scientific Research and Engineering Cluster,2,Approved,9101112,160,30,2016-2017,
24Q600,Queens Vocational and Technical High School,True,460302,Electrician,Architecture and Construction Cluster,5,Approved,9101112,249,30,2016-2017,
24Q600,Queens Vocational and Technical High School,True,460503,Plumbing Technology/Plumber,Architecture and Construction Cluster,1,Approved,9101112,96,30,2016-2017,
24Q600,Queens Vocational and Technical High School,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,3,Approved,9101112,118,30,2016-2017,
24Q600,Queens Vocational and Technical High School,True,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,4,Approved,9101112,219,30,2016-2017,
24Q610,Aviation Career & Technical Education High School,True,470608,Aircraft Powerplant Technology/Technician,"Transportation, Distribution and Logistics Cluster",2,Approved,9101112,2080,2,2016-2017,
25Q425,John Bowne High School,False,10599,"Agricultural & Domestic Animals Services, Other","Agriculture, Food and Natural Resources Cluster",0,Non-Approved,9101112,645,0,2016-2017,
25Q460,Flushing High School,False,430107,Criminal Justice/Police Science,Law and Public Safety Cluster,0,Non-Approved,9101112,207,7,2016-2017,
25Q460,Flushing High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,13,Non-Approved,9101112,314,7,2016-2017,
25Q460,Flushing High School,False,520101,"Business/Commerce, General",Business Management and Administration Cluster,0,Approved,9101112,259,7,2016-2017,
25Q460,Flushing High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,5,Approved,9101112,128,7,2016-2017,
25Q525,Townsend Harris High School,False,90402,Broadcast Journalism,"Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,9101112,337,6,2016-2017,
25Q525,Townsend Harris High School,False,150401,Biomedical Technology/Technician,Scientific Research and Engineering Cluster,1,Non-Approved,101112,119,6,2016-2017,
25Q525,Townsend Harris High School,False,150405,Robotics Technology/Technician,Manufacturing Production Cluster,2,Non-Approved,9101112,63,6,2016-2017,
25Q525,Townsend Harris High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,12,Non-Approved,101112,38,6,2016-2017,
26Q315,Business Technology Early College High School,True,110103,Information Technology,Information Technology Cluster,1,Non-Approved,91011,306,0,2016-2017,
